Standard Domain,Standard Category,Age Group,Standard Description
APPROACHES TO LEARNING,Emotional and Behavioral Self-Regulation,Birth to 9 Months,Interacts with familiar adults for calming and comfort.
APPROACHES TO LEARNING,Emotional and Behavioral Self-Regulation,16 to 36 Months,"Uses various strategies to manage emotions (removing self, etc.)."
